THEME,QUESTION,PERGUNTA,QUESTION,COUNT,AUTRE FORMULATION,TEMA,XMind
Amour,Le coeur a ses raisons que la raison ignore ?,O coração tem razões que a razão desconhrce ?,The heart has its reasons that reason ignores ?,1,Quand-on aime sait-on pourquoi?,Amor (o),
Amour,Qu'aime-t-on dans l'amour ?,O que amamos no amor ?,What do we love in love ?,1,,Amor (o),
Amour,Est-il raisonnable d'aimer ?,É razoável amar ?,Is it reasonable to be in love ?,0,,Amor (o),
Amour,Peut-on aimer son prochain comme soi-même ?,É possível amar o outro como se ama si mesmo ?,Can one love one's neighbor as oneself ?,1,,Amor (o),
Amour,Est-ce réaliste de prétendre pouvoir aimer tous les hommes ?,É realista achar que pode-se amar todos os homens?,Is it realistic to claim to be able to love all men ?,1,,Amor (o),
Amour,Dans tout amour n'aime t-on que soi-même ?,Em todo amor a gente somente se ama si mesmo ?,In all love do we love only ourselves ?,1,,Amor (o),
Amour,Pour aimer autrui faut-il le connaître ?,Para amar o outro é necessário conhecê-lo ?,To love someone does one have to know him ?,1,L'amitié est-elle une forme privilégiée de la connaissance d'autrui ?,Amor (o),
Amour,Comment différencier amour et amitié ?,Como diferenciar o maor da amizade ?,How can one differentiate love from friendship ?,0,,Amor (o),
Art,Peut-on aimer une oeuvre d'art sans la comprendre ?,É possível apreciar uma obra de arte sem entendê-la ?,Can one love a work of art without understanding it ?,1,Peut-on comprendre une oeuvre d'art sans l'aimer ?,Arte (a),
Art,L'art peut-il manifester la vérité ?,A arte pode manifestar a verdade ?,Can art manifest the truth ?,1,,Arte (a),
Art,Les oeuvres d´art sont-elles des réalités comme les autres ?,Um obra de arte é uma realidade como qualquer outra ?,Are works of art realities like the others ?,1,,Arte (a),
Art,L’art transforme-t-il notre conscience du réel ? ,A arte transforma nossa consciência da realidade ?,Can art transform our awareness of reality?,1,,Arte (a),
Art,La sensibilité aux œuvres d'art demande-t-elle à être éduquée ?,A sensibilidade às obras de arte precisa ser ensinada ?,Does sensitivity to works of art require education?,1,Faut-il des connaissances pour apprécier une œuvre d’art ?,Arte (a),
Art,L'art sait-il montrer ce que le langage ne peut pas dire ?,A arte pode mostrar o que a linguagem não consegue expressar ?,Can art show what language can not say ?,1,,Arte (a),
Art,En quoi la beauté artistique est-elle supérieure à la beauté naturelle ?,De que forma a beleza artística é superior à beleza natural ?,How is artistic beauty superior to natural beauty ?,1,,Arte (a),
Art,Pourquoi les productions qui surgissent de l'esprit humain ont-elles plus de valeur que les oeuvres imitées ?,Porque produções que surgem da mente do homem têm mais valor que as obras por imitação ?,Why are artworks invented by the human mind more valuable than imitations ?,1,,Arte (a),
Art,L'oeuvre d'art peut elle nous apprendre quelque chose ?,A obra de arte pode nos ensinar algo ?,"Can a work of art teach us something ?
",0,Faut-il renoncer à expliquer une oeuvre d'art ?,Arte (a),
Art,Une oeuvre d'art peut-elle échapper aux critères du beau et du laid ?,Uma obra de arte pode fugir dos critérios da beleza e do feio ?,Can a work of art escape the criteria of beauty and ugliness ?,1,L'artiste peut-il être indifférent au beau ?,Arte (a),
Art,L'art est-il moins nécessaire que la science ?,A arte é menos necessaria do que a Ciência ?,Is art less necessary than science ?,1,Pouvons-nous nous passer de l'art ?,Arte (a),
Art,Choisit-on d’être artiste ?,Escolhe-se ser artista ?,Does one choose to be an artist ?,1,,Arte (a),
Art,L'art est-il une affaire de goût personnel ?,A arte é uma questão de gosto pessoal ?,Is art a matter of personal taste ?,0,,Arte (a),
Art,Une oeuvre d'art a-t-elle toujours un sens ?,Uma obra de arte sempre tem um sentido ?,Dos a work of art always have a meaning ?,1,"L'art, est-ce ce qui ne sert à rien ?",Arte (a),
Beauté,La beauté transforme-t-elle notre conscience du réel ?,A beleza transforma nossa consciência da realidade ?,Does beauty transform our consciousness of reality ?,1,,Beleza (a),
Beauté,Quelle est la relation entre la beauté et la bonté ?,Qual é a relação entre beleza e bondade ?,What is the realtionship between beauty and goodness ?,1,,Beleza (a),1
Beauté,Y-a-t'il une beauté naturelle ?,Existe uma beleza natural ?,Is there a natural beauty ?,1,,Beleza (a),
Beauté,Existe-t-il un privilège de la beauté ? ,Existe um privilégio da beleza ?,Is there a privilege of beauty ?,0,,Beleza (a),
Beauté,La beauté est elle promesse de bonheur ? ,A beleza é promessa de felicidade ?,Is beauty a promise of happiness ?,0,,Beleza (a),
Beauté,En quoi le sentiment esthétique se distingue-t-il du sentiment religieux ? ,De que forma o sentimento estético distingue-se do sentimento religioso ?,How is aesthetic feeling different from religious feeling ?,1,,Beleza (a),
Beauté,En général quand une chose devient utile cesse-t-elle d'être belle ? ,Em geral quando uma coisa se torna útil ela deixa de ser bela ?,In general when a thing becomes useful does it lose its beauty ?,1,,Beleza (a),
Bien,Etre cultivé rend-il meilleur ?,Ter cultura faz a gente melhor ?,Does being educated makes one a better person ?,1,,Bem (o),
Bien,La détermination du bien n’est-elle qu’une affaire d’opinion ? ,A determinação do bem somente é uma questão de opinião ?,Is the determination of goodness only a matter of opinion ?,1,,Bem (o),
Bien,Suffit-il de voir le meilleur pour le suivre ? ,Basta enxergar o melhor para seguí-lo ?,Is it enough to see the best in order to follow it ?,1,,Bem (o),
Bien,Peut-on vouloir le bien sans le faire ?,É possível querer o bem sem fazê-lo ?,Can one want what is good without doing it ?,0,,Bem (o),
Bien,Parler d'actes inhumains a-t-il un sens ?,Falar de atos inhumanos faz sentido ?,Does speaking of inhuman actions make any sense ?,1,,Bem (o),1
Bien,Comment définir le bien ?,Como definir o bem ?,How does one define goodness ?,1,,Bem (o),
Bien,Le sentiment moral peut-il être éduqué ?,O sentimento moral pode ensinar-se ?,Can moral sentiment be taught ?,1,,Bem (o),
Bien,"Quel serait ""Le Mariage du Ciel et de l'Enfer"" de nos jours, indépendamment de la définition qu'en a donné William Blake il-y-a plus de 2 siècles","Qual seria ""O casamento do céu e do inferno"" hoje em dia, independentemente da definição do William Blake hà mais de 2 séculos",,0,,Bem (o),
Bien,"Quelle serait la ligne d'écriture d'une version moderne des ""Pensées à moi-même"", plus de 18 siècles après celle de Marc-Aurèle ?","Qual seria a linha de uma versão moderna dos ""Pensamentos para mim próprio"", mais de 18 séculos depois da do Marco Aurélio ?",,0,,Bem (o),
Conscience,La conscience fait-elle de l’homme une exception ? ,A consciência faz do homem uma exceção ?,Does conciousness make man an exception ?,1,,Consciencia (a),
Conscience,La conscience de l’individu n’est-elle que le reflet de la société à laquelle il appartient ?,A consciência do indivíduo somente é o reflexo da sociedade na qual ele vive ?,Is an individual's conscience merely a reflection of the society to which he belongs?,1,,Consciencia (a),
Corps,Que suis-je par rapport à mon corps ?,O que sou em relação ao meu corpo ?,What am I in relation to my body ?,1,Mon corps m'appartient-il?,Corpo (o),1
Corps,Quelle différence peut-on faire entre l'esprit et le corps ?  ,Qual diferença podemos fazer entre a mente e o corpo ?,What difference can be made between the mind and the body ?,0,Suffit-il d'expliquer le corps pour comprendre l'esprit ?,Corpo (o),
Désir,Le passionné est-il ennemi de lui-même ? ,Quem sente paixão é inimigo de si mesmo ?,To be passionate is to harm oneself ?,1,Suis-je l'esclave de mes désirs ?,Desejo (o),
Désir,Le désir peut-il se satisfaire de la réalité ? ,O desejo pode satisfazer-se com a realidade ?,Can desire be satisfied with reality ?,1,,Desejo (o),
Désir,Faut-il libérer ses désirs ou se libérer de ses désirs ? ,Precisamos nos entregar aos nossos desejos ou devemos nos libertar dos mesmos ?,Should we follow our desire or liberate ourselves from it ?,1,,Desejo (o),
Désir,Peut-on désirer sans souffrir ? ,Podemos desejar sem sofrer ?,Can one desire without suffering ?,1,,Desejo (o),
Désir,Ne désirons-nous que les choses que nous estimons bonnes ?,Desejamos somente o que estimamos ser bom para a gente ?,Do we only want the things we think are good ?,1,,Desejo (o),
Désir,Peut-on dire d'un désir qu'il est anormal ?,Pode um desejo ser anormal ?,Can we say of a desire that it is abnormal ?,1,,Desejo (o),
Désir,Est-il absurde de désirer l'impossible ?,É absurdo desejar o impossível ?,Is it absurd to desire the impossible ?,0,Faut-il désirer que ce qui est accessible ?,Desejo (o),
Désir,Le désir nous impose-t-il d'en faire l'épreuve ?,Devemos experimentar todos nossos desejos ?,Does desire compel us to experience it ?,1,,Desejo (o),
Désir,Peut-on vouloir le bien sans le faire ?,Pode se desejar o bem se fazê-lo?,,,,Desejo (o),
Désir,Les passions nous empêchent-elles de faire notre devoir ?,As paixões nos impedem de cumprir nosso dever ?,Does passion prevent us from doing our duty ?,1,Nos désirs sont-ils nos faiblesses?,Desejo (o),
Désir,Le désir nous éloigne-t-il du vrai ?,O desejo nos afasta da verdade ?,Does desire take us astray from the truth ?,1,,Desejo (o),
Désir,Savons-nous toujours ce que nous désirons ?,Sempre sabemos o que desejamos ?,Do we always know what we want ?,1,,Desejo (o),
Education,Etre cultivé rend-il meilleur ?,Ter cultura faz a gente melhor ?,,0,Le sentiment moral peut-il être éduqué ?,Educação (a),
Education,La culture est-elle libératrice ?,A cultura é libertadora ?,Is culture liberating ?,1,,Educação (a),
Education,La culture nous rend-elle plus humain ?,A cultura nos torna mais humanos ?,Does culture make us more human ?,0,,Educação (a),
Education,Toutes les cultures se valent-elles ?,Todas as culturas se valem ?,Are all cultures worth the same ?,1,Peut-on être cultivé en ignorant tout des sciences et des techniques ?,Educação (a),
Education,Quelle est la part de l´inné et de l´acquis dans le caractère ?,Qual é a proporção do adquirido et do nato no caráter ?,What is the proportion of the innate vs. the acquired in one's character ?,1,,Educação (a),
Education,Est-on d’autant plus heureux que l’on est plus cultivé ?,Somos mais felizes na medida que somos mais cultos ?,"Is the more cultured you are, the happier you are?",0,,Educação (a),
Education,Le sentiment moral peut-il être éduqué ?,O sentimento moral pode ensinar-se ?,Can the moral sentiment be learned ?,1,,Educação (a),
Education,La culture est-elle un simple ajout à la nature ?,A cultura é um simples incremento à natureza ?,Is culture a simple addition to nature ?,1,,Educação (a),
Education,Existe t-il une Nature Humaine ?,Há uma Natureza Humana ?,,0,,Educação (a),
Existence,"Exister, est-ce agir ? ",Para existir é necessária a ação ?,"To exist, is it to act ?",1,L'homme n'est-il que la série de ses actes?,Existencia (a),
Existence,Pouvons-nous penser l'origine ?,Conseguimos pensar sobre a origem ?,Can we understand what the origin is in thought ?,1,,Existencia (a),
Existence,Exister est-ce profiter de l'instant présent ?,Existir é desfrutar o momento presente ?,Is existence about enjoying the moment ?,0,,Existencia (a),
Existence,Qu'est-ce qu'une journée réussie ? ,O que é um dia bem aproveitado ?,What is a fruitful day ?,1,,Existencia (a),
Existence,Risquons nous de passer à côté de notre vie ?,Existe o risco de desperdiçar nossa vida ?,Do we risk missing out on life ?,0,,Existencia (a),
Existence,"Quelle est ""La force majeure"" dans l'existence selon vous, indépendamment de la définition qu'en a donné Clément Rosset ?","Qual é ""a força maior"" na vida de acordo com você, independentemente da definição dada pelo Clément Rosset ?","What do you consider to be the ""major force"" of existence, regardless of Clément Rosset's definition?",0,,Existencia (a),
Folie,"Commentez cette pensée de Nietzsche: « Ce n'est pas le doute, c'est la certitude qui rend fou. » ?","Comenta esse pensamento do Nietzsche: « Não é a duvida, é a certeza que nos torna louco. » ?","Comment on this thought of Nietzsche: ""It is not doubt, but certainty that drives us mad.""?",0,,Loucura (a),
Histoire,L'histoire est-elle une science ?,A historia é uma ciência ?,Is history a science ?,1,Y-a-t'il des leçons de l'histoire?,Historia (a),
Histoire,A-t-on besoin du passé pour construire son avenir ?,Precisamos do passado para construir nosso futuro ?,Do we need the past to build our future ?,1,Peut-on ignorer le passé?,Historia (a),
Histoire,L'action politique doit-elle être guidée par la connaissance de l'histoire ?,A ação política deve guiar-se pelo conhecimento da historia ?,"Should one use knowledge of history to guide political action ?
",1,,Historia (a),
Histoire,Qui fait l'histoire ?,Quem faz a historia ?,Who makes history ?,1,,Historia (a),
Identité,"Changer, est-ce devenir quelqu’un d’autre ? ",Mudar é se tornar uma outra pessoa ?,To change is to become someone else ?,0,,Identidade (a),
Identité,Prendre conscience de soi est-ce devenir étranger à soi ?,Tomar consciência de si implica tornar-se estranho à si mesmo ?,Is to be self-aware becoming alien to oneself ?,1,,Identidade (a),
Identité,Est-il préférable de se connaître ? ,É preferível conhecer-se ?,Is it better to know oneself ?,1,,Identidade (a),1
Identité,Est-on soi-même ou le devient-on ?,Somos ou nos tornamos o que somos ?,Am I or do I become myself ?,0,,Identidade (a),
Identité,Suis-je le sujet de mes pensées ?,Sou o sujeito de meus pensamentos ?,Am I the subject of my thoughts ?,1,,Identidade (a),
Identité,Peut-on être soi-même devant les autres ?,Podemos ser nos mesmos na frente dos outros ?,Can we be ourselves in front of others ?,1,,Identidade (a),
Identité,Le travail permet-il de prendre conscience de soi ?,O travalho permite tomar consciência de si ?,Does work enable one to become aware of oneself ?,1,,Identidade (a),
Identité,Autrui m'apprend-il quelque chose sur moi-même ?,O outro me ensina algo sobre mim mesmo ?,Do others teach me something about myself ?,1,,Identidade (a),
Identité,Ne sommes-nous que la somme des choix que nous faisons ?,Somos somente a soma de nossas escolhas ?,Are we solely the sum of the choices we make ?,1,,Identidade (a),
Imagination,L’imagination enrichit-elle la connaissance ?,A imaginação enriquece o conhecimento ?,Does imagination enrich knowledge ?,1,,Imaginação (a),
Imagination,Qu'appelle-t-on manquer d'imagination ?,O que significa ter falta de imaginação ?,What do we mean by lack of imagination ?,1,,Imaginação (a),
Inconscient,L’idée d’inconscient exclut-elle celle de liberté ?,A idéia de inconsciente exclui a idéia de liberdade ?,Does the idea of the unconscious exclude that of freedom?,1,,Inconsciente (o) ,
Inconscient,Admettre l'existence de l'inconscient est-ce rendre vain tout effort de lucidité à l'égard de soi même ?,Admitir a existência do inconsciente é renunciar a qualquer esforço de lucidez em relação a si mesmo ?,To admit the existence of the unconscious is to give up on any effort of lucidity with regard to oneself ?,0,,Inconsciente (o) ,
Inconscient,Peut-on dire plus qu'on ne pense ?,Pode-se dizer mais do que pensa ?,Can we say more than we think ?,1,,Inconsciente (o) ,
Joie,Faut-il préférer le bonheur à la vérité ? ,Devemos preferir a felicidade à verdade ?,Should we prefer happiness to the truth ?,0,La connaissance peut-elle nuire au bonheur ?,Felicidade (a),
Joie,Le bonheur est-il affaire privée ?,A felicidade é um assunto privativo ?,Is happiness a private matter ?,0,,Felicidade (a),
Joie,Le bonheur est-il dans l'inconscience ? ,Para ser feliz precisa ser inconsciente ?,Is unconsciousness the condition for happiness ?,0,,Felicidade (a),
Joie,Est-ce illusoire de chercher à être heureux ?,É sem nexo tentar ser feliz ?,Is it illusory to try to be happy ?,1,,Felicidade (a),1
Joie,Quoi d'autre une fois qu'on est heureux ?,"Depois de ser feliz, o que vem?",,0,,,
Joie,Le bonheur est-il le but de la philosophie ?,A felicidade é o objetivo da filosofía ?,Is happiness the goal of philosophy ?,1,La philosophie peut-elle enseigner la joie de vivre?,Felicidade (a),
Joie,Peut-on être heureux dans un monde injuste ?,É possivel ser feliz em um mundo injusto ?,Can one be happy in an unfair world ?,1,,Felicidade (a),
Joie,Ne peut-on être heureux qu'au passé ?,Somente é possivel ser feliz no passado ?,Can one only be happy in the past ?,0,,Felicidade (a),
Joie,Peut-on désirer sans souffrir ? ,Pode-se desejar sem sofrer ?,Can one desire without suffering ?,1,,Felicidade (a),
Joie,Le bonheur est-il le but de l’existence ?,A felicadade é o objetivo da vida ?,Is happiness the goal of existence ?,0,,Felicidade (a),
Joie,Est-on d’autant plus heureux que l’on est plus cultivé ?,Somos mais felizes na medida que somos mais cultos?,"Is the more cultured you are, the happier you are?",0,,Felicidade (a),
Joie,Le bonheur se trouve-t-il dans le repos ?,A felicidade encontra-se no descanso ?,Is rest a condition of happiness ?,0,,Felicidade (a),
Joie,"Réfléchissez sur le titre du livre de Milan Kundera: ""L'insoutenable légèreté de l'être"", indépendamment de la vision de l'auteur ?","Reflita sobre o título do livro do Milan Kundera: ""A insustentável leveza do ser"", independentemente da visão do autor ?",,0,,Felicidade (a),
Joie,"Pouvons-nous avoir ""La conscience tranquille"" de nos jours, indépendamment de la réflexion menée sur ce thème par Plutarque, il y a bientôt 20 siècles ?","Podemos ter ""A consciência tranquila"" hoje em dia, independentemente da reflexão conduzida sobre o tema pelo Plutarco, há perto de 20 séculos ?",,0,,Felicidade (a),
Justice,Le droit n'est-il que l'expression de rapports de force ?,,,1,,Justiça (a),
Justice,Peut-on être heureux dans un monde injuste ?,É possivel ser feliz em um mundo injusto?,,,,Justiça (a),
Justice,L'exigence de justice et l'exigence de liberté sont-elles séparables ?,A exigência de justiça e a exigência de liberdade sempre são interligadas ?,Are the requirements for justice and freedom separable ?,1,Peut-on concilier les exigences de la justice et celles de la liberté ? ,Justiça (a),
Justice,Le droit n'est-il qu'une justice par défaut ?,O nivelamento das leis promove justiça de fato ?,Is the law merely a justice by default ?,1,"Pour être juste, suffit-il d'obéir aux lois ?",Justiça (a),
Justice,Le juste et l'injuste ne sont-ils que des conventions ?,O justo e o injusto são somente convenções ?,Is what is just and unjust merely a matter of conventions ?,1,Sur quoi la justice se fonde-t-elle ?,Justiça (a),
Justice,Ressentir l'injustice m'apprend-il ce qui est juste ?,Experimentar a injustiça ensina-me o que é justo ?,Does experimenting injustice teaches me what is right ?,1,,Justiça (a),
Justice,La justice ne relève-t-elle que de l'Etat ?,A justiça somente é da competência do estado ?,Is justice solely a prerogative of the state ?,1,,Justiça (a),
Justice,Vaut-il mieux subir l'injustice ou la commettre ?,É preferível soffrer da injustiça ou cometê-la ?,Is it better to commit or to be a victim of injustice ?,1,,Justiça (a),
Justice,La démocratie est-elle la garantie de lois justes ?,A democracia é garantia de leis justas ?,Is democracy a guaranty of just laws ?,1,,Justiça (a),
Langage,Peut-on dire que le langage entrave la pensée ?,A linguagem constitui um obstáculo ao pensamento ?,Can we say that language hampers thought ?,1,,Linguagem (a),
Langage,Le langage trahit-il la pensée ?,A linguagem traí o pensamento ?,Does language betrays thought ?,0,,Linguagem (a),1
Langage,Faire usage du langage est-ce renoncer à la violence ?,Usar a linguagem equivale a renunciar à violência ?,By using language do we renounce recurring to violence ?,1,,Linguagem (a),
Langage,Est-il nécessaire de parler pour être compris ?,É preciso falar para ser compreendido ?,Is it necessary to speak to make oneself understood ?,1,,Linguagem (a),
Langage,Le langage ne sert-il qu'à communiquer ?,A linguagem somente serve para comunicar-se ?,Is communication the only use for language ?,0,,Linguagem (a),
Langage,Y a-t-il des choses que le langage ne puisse dire ?,Há coisas que a linguagem não pode expressar ?,Are there things that language cannot tell ?,1,,Linguagem (a),
Langage,Le langage n'est-il qu'un outil ?,A linguagem somente é uma ferramenta ?,Is language only a tool ?,1,,Linguagem (a),
Liberté,La culture est-elle libératrice ?,A cultura é libertadora?,,,,Liberdade (a),
Liberté,Toute prise de conscience est-elle libératrice ?,Tomar consciência sempre é libertador ?,Is becoming aware liberating ?,1,,Liberdade (a),
Liberté,Avons nous le choix d'être libre ?,Podemos escolher de ser livre ?,Can we choose to be free ?,1,Suis-je ce que mon passé a fait de moi ?,Liberdade (a),
Liberté,S'opposer à l'autorité est-ce toujours une marque de liberté ?,Opor-se à autoridade é sempre um marco de liberdade ?,Is to oppose authority always a sign of freedom ?,1,"Obéir, est-ce renoncer à sa liberté ?",Liberdade (a),
Liberté,L'idée d'une liberté totale a-t-elle un sens ?,A idéia de uma liberdade total faz sentido ?,Does the idea of total freedom make sens ?,1,,Liberdade (a),
Liberté,"Être libre, est-ce ne rencontrer aucun obstacle ? ",Ser livre é não encontrar obstáculos ?,"To be free, is it to meet no obstacle ?",0,,Liberdade (a),
Liberté,Pourquoi voulons-nous être libres ? ,Porque queremos ser livres ?,Why do we want to be free ?,0,La liberté peut-elle être un fardeau ?,Liberdade (a),1
Liberté,Quelle est la part de l'inné et de l'acquis dans le caractère ?,Qual a proporção inata e a adquirida do caráter?,How much of character is innate and how much is acquired?,,,Liberdade (a),
Liberté,La chance existe t-elle ?,A sorte existe ?,Does luck exist ?,1,,Liberdade (a),
Matière,L'esprit a-t-il accès aux choses ?,Pode a mente capturar a essência das coisas ?,Does the mind have access to matter ?,1,,Materia (a),
Matière,Qu'est-ce que la matière ?,O que é a matéria ?,What is matter ?,1,,Materia (a),
Mort,Que nous apprend la mort ?,O que nos ensina a morte ?,What does death teach us ?,1,Quel sens la mort donne-t-elle à notre vie ?,Morte (a),
Mort,L’homme doit-il se résigner à mourir ? ,Deve o homem se conformar com a morte ?,Must man resign himself to die ?,1,Faut-il vivre comme si nous ne devions jamais mourir ?,Morte (a),
Mort,Peut-on penser la mort ?,Podemos pensar a morte ?,Can we understand what death is in thought ?,1,,Morte (a),
Penser,Notre liberté de pensée a-t-elle des limites ?,Nossa liberdade de pensar tem limites ?,Does our freedom of thought have limits ?,1,Puis-je perdre ma liberté de penser ?,Pensamento (o),
Penser,Qu'est-ce qu'une idée ?,O que é uma idéia ?,What is an idea ?,1,,Pensamento (o),1
Penser,Pouvons-nous penser l'origine ?,Conseguimos pensar sobre a origem ?,Can we understand in thought what the origin is ?,,Qu'est-ce qui est premier ?,Pensamento (o),
Penser,Peut-on penser la mort ?,Conseguimos pensar a morte?,,,,Pensamento (o),
Penser,Le langage trahit-il la pensée ?,A linguagem trai o pensamento?,,,,Pensamento (o),
